"hgnc_symbol"	"hgnc_id"	"description"
"ADAM33"	"HGNC:15478"	"ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]"
"ADAM8"	"HGNC:215"	"ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]"
"ADAMTS1"	"HGNC:217"	"ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]"
"ADAMTS13"	"HGNC:1366"	"ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]"
"ADAMTS15"	"HGNC:16305"	"ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]"
"ADAMTS16"	"HGNC:17108"	"ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]"
"ADAMTS17"	"HGNC:17109"	"ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]"
"ADAMTS2"	"HGNC:218"	"ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]"
"ADAMTS6"	"HGNC:222"	"ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]"
"ADAR"	"HGNC:225"	"adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]"
"ADARB1"	"HGNC:226"	"adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]"
"ADARB2"	"HGNC:227"	"adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]"
"ADAT1"	"HGNC:228"	"adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]"
"ADCY1"	"HGNC:232"	"adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]"
"ADCY2"	"HGNC:233"	"adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]"
"ADCY5"	"HGNC:236"	"adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]"
"ADCY9"	"HGNC:240"	"adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]"
"ADCYAP1"	"HGNC:241"	"adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]"
"ADD1"	"HGNC:243"	"adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]"
"ADD3"	"HGNC:245"	"adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]"
"ADGRA1"	"HGNC:13838"	"adhesion G protein-coupled receptor A1 [Source:HGNC Symbol;Acc:HGNC:13838]"
"ADGRA2"	"HGNC:17849"	"adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]"
"ADGRA3"	"HGNC:13839"	"adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]"
"ADGRB1"	"HGNC:943"	"adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]"
"ADGRB2"	"HGNC:944"	"adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]"
"ADGRB3"	"HGNC:945"	"adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]"
"ADGRD1"	"HGNC:19893"	"adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]"
"ADGRG6"	"HGNC:13841"	"adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841]"
"ADGRL1"	"HGNC:20973"	"adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]"
"ADGRL2"	"HGNC:18582"	"adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]"
"ADGRL3"	"HGNC:20974"	"adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]"
"ADIPOR1"	"HGNC:24040"	"adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]"
"ADIPOR2"	"HGNC:24041"	"adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]"
"ADISSP"	"HGNC:15873"	"adipose secreted signaling protein [Source:HGNC Symbol;Acc:HGNC:15873]"
"ADNP"	"HGNC:15766"	"activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]"
"ADNP2"	"HGNC:23803"	"ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]"
"ADPRHL1"	"HGNC:21303"	"ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303]"
"ADRA1B"	"HGNC:278"	"adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]"
"ADRA1D"	"HGNC:280"	"adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]"
"ADRA2A"	"HGNC:281"	"adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]"
"ADRA2C"	"HGNC:283"	"adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]"
"ADRM1"	"HGNC:15759"	"ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]"
"ADSS2"	"HGNC:292"	"adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]"
"AEBP2"	"HGNC:24051"	"AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]"
"AFAP1"	"HGNC:24017"	"actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]"
"AFAP1L2"	"HGNC:25901"	"actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]"
"AFDN"	"HGNC:7137"	"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]"
"AFF1"	"HGNC:7135"	"ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]"
"AFF4"	"HGNC:17869"	"ALF transcription elongation factor 4 [Source:HGNC Symbol;Acc:HGNC:17869]"
"AFTPH"	"HGNC:25951"	"aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]"
"AGAP1"	"HGNC:16922"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]"
"AGAP2"	"HGNC:16921"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]"
"AGAP2-AS1"	"HGNC:48633"	"AGAP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48633]"
"AGAP3"	"HGNC:16923"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]"
"AGO1"	"HGNC:3262"	"argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]"
"AGO2"	"HGNC:3263"	"argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]"
"AGO3"	"HGNC:18421"	"argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]"
"AGO4"	"HGNC:18424"	"argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]"
"AGPAT1"	"HGNC:324"	"1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]"
"AGPAT3"	"HGNC:326"	"1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]"
"AGPS"	"HGNC:327"	"alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]"
"AGXT"	"HGNC:341"	"alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]"
"AHCTF1"	"HGNC:24618"	"AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]"
"AHCYL1"	"HGNC:344"	"adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]"
"AHCYL2"	"HGNC:22204"	"adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]"
"AHDC1"	"HGNC:25230"	"AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]"
"AHR"	"HGNC:348"	"aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]"
"AHSA1"	"HGNC:1189"	"activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]"
"AIF1L"	"HGNC:28904"	"allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]"
"AIMP2"	"HGNC:20609"	"aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]"
"AJAP1"	"HGNC:30801"	"adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]"
"AJUBA"	"HGNC:20250"	"ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]"
"AK4"	"HGNC:363"	"adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]"
"AK8"	"HGNC:26526"	"adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]"
"AKAIN1"	"HGNC:28285"	"A-kinase anchor inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28285]"
"AKAP1"	"HGNC:367"	"A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]"
"AKAP11"	"HGNC:369"	"A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]"
"AKAP12"	"HGNC:370"	"A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]"
"AKAP13"	"HGNC:371"	"A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]"
"AKAP6"	"HGNC:376"	"A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]"
"AKAP8"	"HGNC:378"	"A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]"
"AKT1"	"HGNC:391"	"AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]"
"AKT2"	"HGNC:392"	"AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]"
"AKT3"	"HGNC:393"	"AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]"
"ALAS1"	"HGNC:396"	"5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]"
"ALDH1A3"	"HGNC:409"	"aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]"
"ALG12"	"HGNC:19358"	"ALG12 alpha-1,6-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:19358]"
"ALK"	"HGNC:427"	"ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]"
"ALKAL2"	"HGNC:27683"	"ALK and LTK ligand 2 [Source:HGNC Symbol;Acc:HGNC:27683]"
"ALKBH5"	"HGNC:25996"	"alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]"
"ALYREF"	"HGNC:19071"	"Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]"
"AMBRA1"	"HGNC:25990"	"autophagy and beclin 1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]"
"AMD1"	"HGNC:457"	"adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]"
"AMIGO1"	"HGNC:20824"	"adhesion molecule with Ig like domain 1 [Source:HGNC Symbol;Acc:HGNC:20824]"
"AMMECR1L"	"HGNC:28658"	"AMMECR1 like [Source:HGNC Symbol;Acc:HGNC:28658]"
"ANAPC2"	"HGNC:19989"	"anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]"
"ANAPC7"	"HGNC:17380"	"anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]"
"ANGPT2"	"HGNC:485"	"angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]"
"ANK1"	"HGNC:492"	"ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]"
"ANK2"	"HGNC:493"	"ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]"
"ANK3"	"HGNC:494"	"ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]"
"ANKFY1"	"HGNC:20763"	"ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]"
"ANKH"	"HGNC:15492"	"ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]"
"ANKHD1"	"HGNC:24714"	"ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24714]"
"ANKHD1-EIF4EBP3"	"HGNC:33530"	"ANKHD1-EIF4EBP3 readthrough [Source:HGNC Symbol;Acc:HGNC:33530]"
"ANKIB1"	"HGNC:22215"	"ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"ANKLE2"	"HGNC:29101"	"ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]"
"ANKMY1"	"HGNC:20987"	"ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]"
"ANKMY2"	"HGNC:25370"	"ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]"
"ANKRD10"	"HGNC:20265"	"ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]"
"ANKRD11"	"HGNC:21316"	"ankyrin repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21316]"
"ANKRD12"	"HGNC:29135"	"ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]"
"ANKRD13C"	"HGNC:25374"	"ankyrin repeat domain 13C [Source:HGNC Symbol;Acc:HGNC:25374]"
"ANKRD17"	"HGNC:23575"	"ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]"
"ANKRD28"	"HGNC:29024"	"ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024]"
"ANKRD29"	"HGNC:27110"	"ankyrin repeat domain 29 [Source:HGNC Symbol;Acc:HGNC:27110]"
"ANKRD33B"	"HGNC:35240"	"ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]"
"ANKRD37"	"HGNC:29593"	"ankyrin repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:29593]"
"ANKRD40"	"HGNC:28233"	"ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:HGNC:28233]"
"ANKRD50"	"HGNC:29223"	"ankyrin repeat domain containing 50 [Source:HGNC Symbol;Acc:HGNC:29223]"
"ANKRD52"	"HGNC:26614"	"ankyrin repeat domain 52 [Source:HGNC Symbol;Acc:HGNC:26614]"
"ANKRD61"	"HGNC:22467"	"ankyrin repeat domain 61 [Source:HGNC Symbol;Acc:HGNC:22467]"
"ANKRD62"	"HGNC:35241"	"ankyrin repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:35241]"
"ANKS1A"	"HGNC:20961"	"ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]"
"ANKS1B"	"HGNC:24600"	"ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600]"
"ANO1"	"HGNC:21625"	"anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]"
"ANP32A"	"HGNC:13233"	"acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233]"
"ANP32B"	"HGNC:16677"	"acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]"
"ANP32E"	"HGNC:16673"	"acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]"
"ANTXR1"	"HGNC:21014"	"ANTXR cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:21014]"
"AP1B1"	"HGNC:554"	"adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]"
"AP1G1"	"HGNC:555"	"adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]"
"AP1M1"	"HGNC:13667"	"adaptor related protein complex 1 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:13667]"
"AP2A1"	"HGNC:561"	"adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]"
"AP2A2"	"HGNC:562"	"adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]"
"AP2B1"	"HGNC:563"	"adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
"AP2M1"	"HGNC:564"	"adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]"
"AP3D1"	"HGNC:568"	"adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]"
"AP5S1"	"HGNC:15875"	"adaptor related protein complex 5 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:15875]"
"APBA3"	"HGNC:580"	"amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]"
"APBB1"	"HGNC:581"	"amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]"
"APBB2"	"HGNC:582"	"amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]"
"APC"	"HGNC:583"	"APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]"
"APC2"	"HGNC:24036"	"APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]"
"APH1A"	"HGNC:29509"	"aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]"
"API5"	"HGNC:594"	"apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]"
"APLP2"	"HGNC:598"	"amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]"
"APOBEC1"	"HGNC:604"	"apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:604]"
"APP"	"HGNC:620"	"amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]"
"APPBP2"	"HGNC:622"	"amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]"
"APPL1"	"HGNC:24035"	"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]"
"AQP1"	"HGNC:633"	"aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]"
"AQP2"	"HGNC:634"	"aquaporin 2 [Source:HGNC Symbol;Acc:HGNC:634]"
"AQP3"	"HGNC:636"	"aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]"
"AQP5"	"HGNC:638"	"aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]"
"AQP7"	"HGNC:640"	"aquaporin 7 [Source:HGNC Symbol;Acc:HGNC:640]"
"AQR"	"HGNC:29513"	"aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]"
"ARCN1"	"HGNC:649"	"archain 1 [Source:HGNC Symbol;Acc:HGNC:649]"
"ARF1"	"HGNC:652"	"ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]"
"ARF3"	"HGNC:654"	"ADP ribosylation factor 3 [Source:HGNC Symbol;Acc:HGNC:654]"
"ARF4"	"HGNC:655"	"ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]"
"ARF5"	"HGNC:658"	"ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"ARF6"	"HGNC:659"	"ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]"
"ARFGAP2"	"HGNC:13504"	"ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]"
"ARFGEF1"	"HGNC:15772"	"ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]"
"ARFGEF2"	"HGNC:15853"	"ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]"
"ARFGEF3"	"HGNC:21213"	"ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213]"
"ARFIP2"	"HGNC:17160"	"ADP ribosylation factor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17160]"
